"round","col","row","i","category","clue","answer","uid"
1,5,3,23,"Room","The Titanic Has 3 Rooms For This--Only Men Were Allowed There, As Women Weren't Supposed To Do It In Public","Smoking",1
1,5,4,24,"Room","Officially Released In 1975, Much-Bootlegged Tapes Of Dylan & The Band Were Named For This Space","The Basement",1
1,5,5,25,"Room","Decorating Experts, & The Film 'The Big Lebowski', Advise That The Right One Of These Really Ties A Room Together","A Rug",1
1,6,1,16,"'Board'","In 2003, Roy E. Disney Left It After Being On It Since 1967","The Disney Board Of Directors",1
1,6,2,17,"'Board'","It's Where Bart Simpson Is Often Found In The Opening Of 'The Simpsons'","His Skateboard (Or The Blackboard)",1
1,6,3,18,"'Board'","At This Time We'D Like To Do This For Our First-Class Passengers & Those Traveling With Small Children","Pre-Board",1
1,6,4,19,"'Board'","A Structural Material Named For Its Small Wood Fragments Pressed Together & Bonded","Particle Board",1
1,6,5,20,"'Board'","(Jimmy Of The Clue Crew Reads From The Cirque Du SoleiL.) When Used By Acrobats, This Structure Isn't Called A Seesaw, But This","A Teeterboard",1
2,1,1,52,"World History","Toledo Military Academy Class Of 1910 Grad Who Went On To Become A Dictator","Francisco Franco",1
2,1,2,57,"World History","Mindon, As Emperor Of This Country, Set Up A New Capital In 1857 At Mandalay","Burma",1
2,1,3,58,"World History","His 5 Classics Were Canonized During The Han Dynasty","Confucius",1
2,1,4,59,"World History","Edmund 'Crouchback' Founded This Branch Of The Plantagenets That Didn't Get On Well With The Yorks","The Lancasters",1
2,1,5,60,"World History","In 1825, The Decembrists Attempted A Coup In This Country--Didn't Work","Russia",1
2,2,1,31,"Spirited Cinema","Nicole Kidman Finds A Photo Book Containing A Postmortem Image Of Her Current Housekeeper In This Chiller","The Others",1
2,2,2,32,"Spirited Cinema","This Actor Played A Medium Hired To Investigate The Everest Of Haunted Houses In 'Legend Of Hell House'","Roddy Mcdowall",1
2,2,3,33,"Spirited Cinema","David's Haunted By The Decomposing Corpse Of His Friend Jack After Being Attacked On The British Moors In This 1981 Film","An American Werewolf In London",1
2,2,4,34,"Spirited Cinema","In 'The Gift' This Aussie Actress Plays A Psychic Who Gets Some Much Needed Help From Her Former Client","Cate Blanchett",1
2,2,5,35,"Spirited Cinema","Rex Harrison Is A Curmudgeonly Sea Captain's Ghost Haunting Gene Tierney's Cottage In This 1947 Classic","The Ghost And MrS. Muir",1
2,3,1,51,"Transportation","After Turning The Key, It's The Final Action With Which You Start A Yamaha Yz426f 4-Stroke Motorcycle","Kick",1
2,3,2,53,"Transportation","The Champlain & ST. Lawrence Railroad Opened In 1836 Powered By This, But Soon Became Canada's First Powered By Steam","Horses",1
2,3,3,54,"Transportation","The Vessel Seen Here, The Type Of Missile It Carries Or A Much More Low-Tech Weapon","Trident",1
2,3,4,55,"Transportation","The U.S. Company Trek Makes Lance Armstrong's Bikes From A Composite Of This Often-Compounded Element","Carbon",1
2,3,5,56,"Transportation","In 1980 You Could Haul Brie In The Renault Sold In The U.S. Under This Half-French Name","Le Car",1
2,4,1,46,"Fish, Bird, Or Mammal","The Tapir","Mammal",1
2,4,2,47,"Fish, Bird, Or Mammal","The Lamprey","Fish",1
2,4,3,48,"Fish, Bird, Or Mammal","The Coelacanth","Fish",1
2,4,4,49,"Fish, Bird, Or Mammal","The Ptarmigan","Bird",1
2,4,5,50,"Fish, Bird, Or Mammal","The Colobus","Mammal",1
2,5,1,36,"Prufrockian Ponderings","'And How Should I Begin?' Hmmm, T.S., Why Not With The Alphabetically First Country, Whose Internet Code Is .Af","Afghanistan",1
2,5,2,37,"Prufrockian Ponderings","'Do I Dare Disturb The Universe?', Maybe Like This Cosmic Explosion Theory First Proposed In The 1920s","The Big Bang",1
2,5,3,38,"Prufrockian Ponderings","'So How Should I Presume?' Not With This Argumentative Fallacy Attacking The Person & Not The Facts","Ad Hominem",1
2,5,4,39,"Prufrockian Ponderings","'In The Room The Women Come And Go Talking Of Michelangelo', But Do They Know This Statue Was The Only 1 He Signed?","The Pietà",1
2,5,5,40,"Prufrockian Ponderings","'Do I Dare To Eat A Peach?', & If So, Perhaps This Kind That Sounds Like William Sydney Porter's Alias","O'henry",1
2,6,1,41,"You Get An 'A'","This U.S. State's Name Comes From An Aleut Word Meaning 'Great Land'","Alaska",1
2,6,2,42,"You Get An 'A'","(Jeff Probst, Host Of Survivor, Reads The CluE.) This River Got Its Name After A Spanish Explorer Reported That He Had Been Attacked By Female Warriors There","Amazon",1
2,6,3,43,"You Get An 'A'","This Basic Unit Of Measure Of Electric Current Is Named For A French Physicist Who Studied Voltage","The Ampere",1
2,6,4,44,"You Get An 'A'","To Increase A Jet Plane's Thrust, Turn On These That Feed Fuel Into The Hot Exhaust Gases","The Afterburners",1
2,6,5,45,"You Get An 'A'","There's A Cathedral Of Notre Dame In This Large Belgian Port City That's Also Known For Its Diamonds","Antwerp",1
3,1,1,61,"Comic Books","In 2002 The Library Of Congress Had William B. Jones, JR. Speak On This 1941-1971 Comic Book Series In Its Collection","Classic Comics (Or Classics Illustrated)",1
1,1,1,4,"World Religion","As The Mayan God Of Merchants, Ek Chuah Was Responsible For This Yummy Bean, Once The Standard Mayan Currency","Cacao Bean",2
1,1,2,5,"World Religion","The Voodoo Of New Orleans Owes A Debt To This Caribbean Nation Once Known As ST. Domingue","Haiti",2
1,1,3,6,"World Religion","By Definition, The Hashemites Are Either Direct Or Collateral Descendants Of This Prophet","Muhammad",2
1,1,4,7,"World Religion","Parasurama Is ThE... Let Me See, Fourth, FiftH... No, Sixth Avatar Of This Hindu God","Vishnu",2
1,1,5,8,"World Religion","From The Latin For A Room That Can Be Locked, It's A Meeting Assembled To Choose A Pope","A Conclave",2
1,2,1,1,"The Experience Music Project","(Sofia Of The Clue Crew Holds A Feathered Headdress At Experience Music Project In Seattle, WA.) Felipe Rose, Who Wore This Costume As Part Of This '70s Group, Has Since Founded Tomahawk Records","The Village People",2
1,2,2,2,"The Experience Music Project","In 2004, For The 40th Anniversary Of The Fab 4 In The U.S., Emp Presents An Exhibit Titled This, Like A 1977 Broadway Show","Beatlemania",2
1,2,3,3,"The Experience Music Project","(Sofia Of The Clue Crew Holds A Giant Black Boot At Experience Music Project In Seattle, WA.) The Dragon Boots Were Part Of The Finery Of This Hard Rock Band","Kiss",2
1,2,4,9,"The Experience Music Project","In The Area Called Dj Hallway, Learn Scratching & The Other Aspects Of This -Ism","Turntablism",2
1,2,5,10,"The Experience Music Project","(Sofia Of The Clue Crew Holds A Red Hat At The Experience Music Project In Seattle, WA.) Experience Music Project Has A Hat From The Collection Of This Man From Romeo, Michigan","Kid Rock",2
1,3,1,21,"Grocery Shopping","If In A Hurry, Grab A Prewashed Salad MIX, Perhaps With The Red Leaf & Green Leaf Types Of This","Lettuce",2
1,3,2,22,"Grocery Shopping","If You're Buying A Whole Fish, These (On The Fish) Should Be Clear & Not Sunken","Eyes",2
1,3,3,23,"Grocery Shopping","Mom, Not Shredded Wheat! Please Can We Get Tony's Cinnamon Krunchers From This Company, Can We Please?","Kellogg's",2
1,3,4,24,"Grocery Shopping","You'll Get Fresher Milk From The Bottom Of Your Market's Display Case For This Reason","Because It's Colder At The Bottom",2
1,3,5,25,"Grocery Shopping","Choose One Of These With Evenly Distributed Netting","Cantaloupe",2
1,4,1,16,"The Largest In Area","Maine,Maryland,Montana","Montana",2
1,4,2,17,"The Largest In Area","Wisconsin,Wyoming,Washington","Wyoming",2
1,4,3,18,"The Largest In Area","Ohio,Oklahoma,Oregon","Oregon",2
1,4,4,19,"The Largest In Area","Nebraska,Nevada,North Carolina","Nevada",2
1,4,5,20,"The Largest In Area","American Samoa,Bermuda,Puerto Rico","Puerto Rico",2
1,5,1,26,"Feathers","Depending On The Source, He 'Stuck A Feather In His Cap' Or 'In His Hat And Called It Macaroni'","Yankee Doodle",2
1,5,2,28,"Feathers","According To The Proverb, 'Birds Of A Feather' Do This","Flock Together",2
1,5,3,27,"Feathers","For A Plains Indian's War Bonnet, The Best Feathers Were From This Bird","An Eagle",2
1,5,4,29,"Feathers","A Female Swan, Or What A Quill Can Be Used As","A Pen",2
1,5,5,30,"Feathers","It's What Daedalus Used To Hold The Feathers Together In The Wings He Made For Himself & His Son","Wax",2
1,6,1,11,"The Queen's English","If You Take A Nappy In London, It's One Of These To Put On A Baby","A Diaper",2
1,6,2,12,"The Queen's English","The Type Of Car The Brits Call An Estate Car, We Americans Call One Of These Wagons","A Station Wagon",2
1,6,3,13,"The Queen's English","If You're Challenged To A Game Of Draughts In A Birmingham Pub, Be Prepared To Contest This Board Game","Checkers",2
1,6,4,14,"The Queen's English","If Your Mechanic In Manchester Needs A Spanner To Fix Your Car, He's Asking For One Of These","A Wrench",2
1,6,5,15,"The Queen's English","If The Westminster Bobby Pulls Out His Truncheon, Be Worried Because It's One Of These","A Club (Or A Nightstick)",2
2,1,1,31,"The War Of 1812","About 2,000 British Soldiers Were Killed Or Wounded By Jackson's Troops In This Last Engagement Of The War","Battle Of New Orleans",2
2,1,2,32,"The War Of 1812","In April 1813, The U.S. Captured Toronto, But This General After Whom A Colorado Mountain Is Named Died In The Battle","Zebulon Pike",2
2,1,3,33,"The War Of 1812","On December 29, 1812 This Famous U.S. Frigate Defeated The British Frigate Java Off The Coast Of Brazil","The Constitution",2
2,1,4,34,"The War Of 1812","In 1813 This Naval Officer Supervised The Building Of American Ships To Strengthen The Navy's Fleet On Lake Erie","Oliver Hazard Perry",2
2,1,5,35,"The War Of 1812","A Provision Of This Treaty Ending The War Set Up A Commission To Settle The Boundary Between The U.S. & Canada","The Treaty Of Ghent",2
2,2,1,56,"Hodgepodge","This Adjective Can Be Applied To Writers Like Shelley & Hugo As Well As To A 'Getaway' For 2","Romantic",2
2,2,2,57,"Hodgepodge","The Logo Of The National Beagle Club Doesn't Show A Beagle But This Scared Animal That Beagles Hunt","A Rabbit",2
2,2,3,58,"Hodgepodge","Big Sandy Isn't A Feared Bouncer, But A River That Divides Kentucky From This 'Mountain State'","West Virginia",2
2,2,4,59,"Hodgepodge","Official Job Title Of The Person Who Directs The Largest Library In The World","The Librarian Of Congress",2
2,2,5,60,"Hodgepodge","Born In 1714, This 3-Initialed Son Of J.S. Bach Became His Father's Student & Successor","Carl Philipp Emanuel Bach",2
2,3,1,51,"Doc Talk","Myopia Is The Medical Term For This","Nearsightedness",2
2,3,2,52,"Doc Talk","This Is The Common Name For A Lumbar Puncture, Used To Test For Meningitis","A Spinal Tap",2
2,3,3,53,"Doc Talk","Properly Called The Optic Disk, It's The Region Of The Retina That Has No Rods Or Cones","The Blind Spot",2
2,3,4,54,"Doc Talk","An Lft Tests The Function Of This Organ","The Liver",2
2,3,5,55,"Doc Talk","Minor Ailments Can Be Treated By Nps (Nurse-Practitioners) & Pas (These)","Physician Assistants",2
2,4,1,39,"Baseball: The 1930s","On May 25, 1935 He Slugged The Last 3 Home Runs Of His Career--Numbers 712, 713 & 714","Babe Ruth",2
2,4,2,40,"Baseball: The 1930s","On July 6, 1933 This City's Comiskey Park Hosted The First All-Star Game; The American League Won, 4-2","Chicago",2
2,4,3,41,"Baseball: The 1930s","In 1939 Red Sox Rookie Batted .327; 2 Years Later His Batting Average Increased 79 Points","Ted Williams",2
2,4,4,43,"Baseball: The 1930s","In 1934 This Eccentric ST. Louis Cardinals Pitcher Who Won 30 Games Was Named The Nl's Most Valuable Player","Dizzy Dean",2
2,4,5,44,"Baseball: The 1930s","In June 1938 This Cincinnati Reds Pitcher Became The Only Man To Pitch A No-Hitter In 2 Consecutive Games","Johnny Van Der Meer",2
2,5,1,36,"Who's The Subject?","'A Private Disgrace' & 'Forty Whacks'","Lizzie Borden",2
2,5,2,37,"Who's The Subject?","'Against The Current' & 'Far Side Of Paradise'","F. Scott Fitzgerald",2
2,5,3,38,"Who's The Subject?","'American Caesar' & 'Old Soldiers Never Die'","Douglas Macarthur",2
2,5,4,42,"Who's The Subject?","'Prince Of Humbugs' & 'The Fabulous Showman'","P.T. Barnum",2
2,5,5,45,"Who's The Subject?","'The Last Lion' & 'Lion Of Britain'","Winston Churchill",2
2,6,1,46,"'I' Catching","The Fianna Fail Political Party's Name Means 'Warriors Of' This Country","Ireland",2
2,6,2,47,"'I' Catching","From The Latin For 'Inactivity' It's The Tendency Of A Body To Resist Change In Its Motion","Inertia",2
2,6,3,48,"'I' Catching","Astrud Gilberto Had A Monster Hit Song About 'The Girl From' This Place","Ipanema",2
2,6,4,49,"'I' Catching","Cambodia, Laos & Vietnam Are Part Of This Peninsula","Indochina",2
2,6,5,50,"'I' Catching","This Innovative Russian Designed The Soviet Union's Il-2, A Famous Dive-Bombing Fighter Plane Of Wwii","Sergei Ilyushin",2
3,1,1,61,"War Movies","A Controversial 1979 War Film Was Based On A 1902 Work By This Author","Joseph Conrad",2
1,1,1,16,"Little Red Riding Hood","It Was The Wolf's Reply To Red's Comment, 'Grandmother, What Large Eyes You Have'","The Better To See You With",3
1,1,2,17,"Little Red Riding Hood","In The 1934 Disney Cartoon 'The Big Bad Wolf', This Trio Warns Red About The Wolf Waiting At Grandma's House","The Three Little Pigs",3
1,1,3,18,"Little Red Riding Hood","In The Grimms' Version, This Character Was Added To Save Red's Life After The Wolf Had Devoured Her","The Woodsman",3
1,1,4,19,"Little Red Riding Hood","'Lil' Red Riding Hood' Was A NO. 2 Hit In 1966 For Sam The Sham & This Group","The Pharaohs",3
1,1,5,20,"Little Red Riding Hood","'Little Red Riding Hood' Was First Written As 'Le Petit Chaperon Rouge' In 1697 By This French Fairy Tale Compiler","Charles Perrault",3
1,2,1,26,"Shortwave","The Shortwave Band Begins At About 1700 These Units Abbreviated Khz; Below That You're In Am Territory","Kilohertz",3
1,2,2,27,"Shortwave","Mainly Funded By The Cia, This Broadcasting Operation Began Transmitting Behind The Iron Curtain In 1949","Radio Free Europe",3
1,2,3,28,"Shortwave","One Book Calls This 12-Letter Word The 'Arch-Enemy Of Shortwave Listeners'; I Just Call It Annoying","Interference",3
1,2,4,29,"Shortwave","This Service That Broadcasts From Abuja & Lagos Has A Name Reflecting That Of The Usa's Official Radio Service","Voice Of Nigeria",3
1,2,5,30,"Shortwave","To Catch The Bbc At 1700 Utc, Or Universal Time Coordinated, Tune In At This Morning Hour Pacific Standard Time","9: 00 Am",3
1,3,1,21,"Small Town Folks","This Popcorn Magnate Burst Into The World On July 16, 1907 In Brazil, Indiana","Orville Redenbacher",3
1,3,2,22,"Small Town Folks","As A Player, This Man Led Tiny Williston, N.D. High To The State Basketball Championships","Phil Jackson",3
1,3,3,23,"Small Town Folks","Last Name Of Cecile, Yvonne, Annette, Emelie, & Marie, Born May 28, 1934 In The Village Of Callendar, Ontario","Dionne",3
1,3,4,24,"Small Town Folks","This Bandleader Whose Hit Is Heard Here Grew Up In The Small Towns Of Clarinda, Iowa; Tryon, NeB.; & Grant City, MO.","Glenn Miller",3
1,3,5,25,"Small Town Folks","From Dublin, MicH. This Actor & Verizon Spokesman First Used A Phone When He Won A College Scholarship","James Earl Jones",3
1,4,1,11,"Micronesia","The Only Native Mammal In Micronesia Is This Flying One","A Bat",3
1,4,2,12,"Micronesia","In The 1950s Enewetak & This Atoll Consisted The Pacific Proving Ground Of The U.S. Atomic Energy Commission","Bikini Atoll",3
1,4,3,13,"Micronesia","The Name Micronesia Comes From 2 Greek Words, Micro & Nesos, Which Mean This","Small Island",3
1,4,4,14,"Micronesia","In Agana, The Capital Of This U.S. Territory, You Can Visit Latte Stone Park & See Stone Pillars From A Prehistoric People","Guam",3
1,4,5,15,"Micronesia","Most Of The Caroline Islands Are Now A Part Of This Independent Country Known As Fsm For Short","The Federated States Of Micronesia",3
1,5,1,2,"A 'Tiny' Category","Probably The Most Famous Ukulele Player To Have A Top 40 Hit, His Name Came From A Charles Dickens Character","Tiny Tim",3
1,5,2,7,"A 'Tiny' Category","Leon Prober Composed This Don Ho Standard","'Tiny Bubbles'",3
1,5,3,8,"A 'Tiny' Category","1980s Boston Celtics Standout Nate","'Tiny' Archibald",3
1,5,4,9,"A 'Tiny' Category","This Tv Show Featured Younger Versions Of Classic Warner BroS. Animated Characters","Tiny Toon Adventures (Tiny Toons Accepted)",3
1,5,5,10,"A 'Tiny' Category","In The Oscar-Nominated Song, The 3 Words That Follow 'Thumbelina, ThumbelinA...'","'Tiny Little Thing'",3
1,6,1,1,"My Newt","My Newt, Seen Here, Gets Offended When People Call It A Lizard--It's Obviously One Of These Amphibians","A Salamander",3
1,6,2,3,"My Newt","When My Newt Developed This Pair Of Organs, It Was Ready To Start Living On Land & Be Called An Eft","Lungs",3
1,6,3,4,"My Newt","My Newt Takes Pride In How Carefully Female Newts Attach These Individually To Aquatic Plants","Her Eggs",3
1,6,4,5,"My Newt","It's No Fun For My Newt To Hug His European Cousin Named For These Bumps Attributed To Toads","Warts",3
1,6,5,6,"My Newt","My Newt Wonders Why Newts Aren't A Japanese Delicacy Like This Fish That Secretes The Same Poison","Blowfish (Or Fugu)",3
2,1,1,51,"Tall Buildings","If A Chunk Of This New England City's Travelers Tower Falls On You, We're Confident They're Insured","Hartford, Connecticut",3
2,1,2,52,"Tall Buildings","Manhattan's Lever House Helped Usher In The Era Of The Building Style Known As A Box Of This Material","Glass",3
2,1,3,53,"Tall Buildings","You Might Expect Decor By Michelangelo At The Over 500-Foot Towers With This Name In Dallas & Detroit","Renaissance",3
2,1,4,54,"Tall Buildings","The Jin Mao Building, China's Tallest, Is In This Commercial Center In The East Of The Country","Shanghai",3
2,1,5,55,"Tall Buildings","This Establishment, Seen Here, Isn't In Asia, But In Atlantic City","The Taj Mahal",3
2,2,1,33,"Sports Giants","In 1946, Elmore Morgenthaler Was The First Nba Player With This Physical Distinction","Being 7 Feet Tall",3
2,2,2,42,"Sports Giants","Through 2003 This Pitcher Now With Arizona Had 3,871 Strikeouts In 3,122 Innings","Randy Johnson",3
2,2,3,43,"Sports Giants","North-Of-The-Border Star Athlete Seen Here","Vince Carter",3
2,2,4,44,"Sports Giants","Known As 'Tooz', He Played Defensive Line For The Raiders & Played Tonda In The Film 'Caveman'","John Matuszak",3
2,2,5,45,"Sports Giants","(I'M Hall Of Famer Dan HamptoN.) My Hall Of Fame Biography Mentions This Beastly Nickname That Came From My First Name & My Fierce Attitude","'Danimal'",3
2,3,1,31,"Heaping Portions","This 'Male' Brand Of Frozen Dinners Contains More Than 1 Pound Of Food; The Xxl Line Has 1 1/2 Pounds","Hungry-Man",3
2,3,2,32,"Heaping Portions","The Overtons Named This Restaurant For A Certain Dessert; It's Known For Its Large Menu & Giant Portions","Cheesecake Factory",3
2,3,3,34,"Heaping Portions","A 32-Ounce Soft Drink At 7-Eleven Has This Trademarked Name","Big Gulp",3
2,3,4,35,"Heaping Portions","(Jimmy Of The Clue Crew Points To Three Stacks Of Different-Sized Paper Cups In A Starbucks In Seattle, WashingtoN.) At Starbucks, Tall Is Only 12 Ounces, Grande Is 16 Ounces & This, Italian For 20, Is 20 Ounces","Venti",3
2,3,5,36,"Heaping Portions","This Bottle Size Named For One Of The Magi Is The Equivalent Of 16 Standard Bottles Of Wine","Balthazar",3
2,4,1,37,"Lots Of Space","Nasa Has 134 Of These & Has No Current Plan To Hire More","Astronauts",3
2,4,2,38,"Lots Of Space","On August 27, 2003 This Planet Reached Its Closest Point To Earth In Nearly 60,000 Years","Mars",3
2,4,3,39,"Lots Of Space","In 1965, Belyayev Just Had To Sit There While His Partner Leonov Became The First To Do This","Walk In Space",3
2,4,4,40,"Lots Of Space","In 1945 This 'Space Odyssey' Author Suggested A Space-Based Telecommunication System","Arthur Clarke",3
2,4,5,41,"Lots Of Space","Try & Come Up With This Name Of The Apollo 15 Command Module Or The Shuttle First Launched In 1992","Endeavor",3
2,5,1,56,"The Vast & The Furious","The Shortest 'War' In History, 45 Minutes, Occured In 1896 Between Zanzibar & Naval Forces Of This Vast Empire","The British Empire",3
2,5,2,57,"The Vast & The Furious","This Nation Of 200 Million Has Fought Small Independence Movements Like Those In Aceh & East Timor","Indonesia",3
2,6,1,46,"Big Words","A Person Who Fought Against Slavery, Like John Brown, Was Termed This 12-Letter Word","Abolitionist",3
2,6,2,47,"Big Words","This Instrument, Often Attached To An Inflatable Cuff, Is Used To Measure Blood Pressure","A Sphygmomanometer",3
2,6,3,48,"Big Words","This 11-Letter Word For 'Sleight Of Hand' Is From The French For 'Light Of Hand'","Legerdemain",3
2,6,4,49,"Big Words","This Adjective Refers To A 150th Anniversary","Sesquicentennial",3
2,6,5,50,"Big Words","28-Letter Term For Opposition To The Withdrawal Of State Support, As For The Anglican Church","Antidisestablishmentarianism",3
3,1,1,58,"Historic Mediums","In The '20s The Alleged Spirit Powers Of Margery Caused A Rift Between These 2 Men, A Magician & A Writer","Harry Houdini & Sir Arthur Conan Doyle",3
1,1,1,1,"European Capitals","Among Its Numerous City Squares Are Ledise, Known For Its Cafes, & Rembrandt, Known For Its Cabarets","Amsterdam",4
1,1,2,2,"European Capitals","In Russian This Lithuanian Capital Is Called Vilna","Vilnius",4
1,1,3,3,"European Capitals","This City’s Best-Known Thoroughfare Is Trakt Krolewski, Or Royal Way","Warsaw",4
1,1,4,4,"European Capitals","This Capital Lies On The Attica Plain Surrounded By Mountains Including Parnes & Hymettus","Athens",4
1,1,5,5,"European Capitals","In The 15th Century, Henry The Navigator Founded ST. Mary’s Chapel In Belem, Now A Part Of This European Capital","Lisbon",4
1,2,1,27,"Pro Football","This City’s Superdome Has Been Just Super, Hosting 6 Super Bowls, More Than Any Other Site","New Orleans",4
1,2,2,28,"Pro Football","In 1960 Paul Hornung Set The Nfl Season Record For Scoring With 176 Points: He Had 15 Tfds, 41 Pats & 15 Of These","Field Goals (Fgs)",4
1,2,3,29,"Pro Football","After 41 Seasons In The Same City, This Nfl Team Moved To Pontiac, Michigan In 1975","Detroit Lions",4
1,2,4,26,"Pro Football","Vince Lombardi Has The Highest Winning Percentage Of Any Nfl Coach In History: This “Mnf” Announcer Is A Close Second","John Madden",4
1,2,5,30,"Pro Football","(I’M Hall Of Fame Running Back John RigginS.) In 1983 I Rushed For A Then Record 24 Tds; The Redskins Offensive Line Who Opened Holes For Me Had This Nickname","Hogs",4
1,3,1,16,"Plant The Evidence","This Desert Plant That Looks Part Cactus, Part Tree Bears The Name Of The Man Chosen By Moses To Be His Successor","A Joshua Tree",4
1,3,2,17,"Plant The Evidence","The Lantana Is Valued As A Plant For Its Ability To Attract Hummingbirds And These Flutterers","Butterflies",4
1,3,3,18,"Plant The Evidence","A Genus Of Herbs Was Named For This Ex-Governor Clinton, Not Bill","Dewitt Clinton",4
1,3,4,19,"Plant The Evidence","Fenugreek, Whose Seeds Are Roasted & Ground To Make Spice, Is This Type Of Plant, Like Peas & Beans","Legume",4
1,3,5,20,"Plant The Evidence","Most Of The Oregano Sold In The U.S. Is Made From The Dried Leaves Of This Plant","Marjoram",4
1,4,1,6,"Royal Houses","George I’s Father Was Elector Of This, Hence Its Turnover Into A House Name","Hanover",4
1,4,2,7,"Royal Houses","This Dynasty’s Last 3 Monarchs, Including Mary I, Died Childless","Tudor",4
1,4,3,8,"Royal Houses","As A Member Of This House, It Sounds Like James I Could Have Starred In “Harvey”","Stuart",4
1,4,4,9,"Royal Houses","It Could Be Called The House Of Citrus Sinensis","Orange",4
1,4,5,10,"Royal Houses","This Shakespeare Play Sounds Like It’s About The Better Halves Of George V & George VI","The Merry Wives Of Windsor",4
1,5,1,11,"The Coin Box","You’ll Find This 4-Word Motto On All U.S. Coins","In God We Trust",4
1,5,2,12,"The Coin Box","Sales Of The 2000 Leif Ericson Millennium Coin Funded A Student Exchange Between The U.S. & This Island Country","Iceland",4
1,5,3,13,"The Coin Box","On The Back Of The Euro Issued By This Country You’ll Find A Celtic Harp","Ireland",4
1,5,4,14,"The Coin Box","For Luck On His 1961 Space Flight, Gus Grissom Took Along Some Of These Dimes Last Produced In 1945.","Mercury Dimes (Or Winged Liberty Dimes)",4
1,5,5,15,"The Coin Box","People Are Just Mad For The Loonie, The Nickname For This Country’s One-Dollar Coin","Canada",4
1,6,1,21,"'M'-Brace Me","In A Sondheim Musical, It’s How “We Roll Along”","'Merrily'",4
1,6,2,22,"'M'-Brace Me","1 Of These Equals 39.97 Inches","Meter",4
1,6,3,23,"'M'-Brace Me","This Place Is A Tomb: A Big One!","Mausoleum",4
1,6,4,24,"'M'-Brace Me","In 1943 Adolf Galland Said After His First Ride In This German Jet, “It Felt As If Angels Were Pushing”","Messerschmitt",4
1,6,5,25,"'M'-Brace Me","This State’s University Has Its Main Campus In College Park","Maryland",4
2,1,1,36,"DR. Seuss Meets The Bard, Redux","'Friends, Romans, Countrymen, Lend Me Your Ear; I Must Say Something You've Just Got To Hear!'","Julius Caesar",4
2,1,2,37,"DR. Seuss Meets The Bard, Redux","'Life'S... Full Of Sound And Fury, Why Must We Always Hurry, Hurry, Hurry?'","Macbeth",4
2,1,3,38,"DR. Seuss Meets The Bard, Redux","'Once More Unto The Breach, But First Allow Me To Eat This Peach'","Henry V",4
2,1,4,39,"DR. Seuss Meets The Bard, Redux","'Blow, Winds, And Crack Your Cheeks! I Haven't Been This Cold In Weeks!'","King Lear",4
